HDR,,
VD,00020220301000000,27819
VD,00020220301000500,27792
VD,00020220301001000,27763
VD,00020220301001500,27709
VD,00020220301002000,27698
VD,00020220301002500,27690
VD,00020220301003000,27704
VD,00020220301003500,28170
VD,00020220301004000,28341
VD,00020220301004500,28513
VD,00020220301005000,28518
VD,00020220301005500,28439
VD,00020220301010000,28186
VD,00020220301010500,28118
VD,00020220301011000,28082
VD,00020220301011500,27963
VD,00020220301012000,27809
VD,00020220301012500,27603
VD,00020220301013000,27490
VD,00020220301013500,27433
VD,00020220301014000,27381
VD,00020220301014500,27320
VD,00020220301015000,27330
VD,00020220301015500,27312
VD,00020220301020000,27168
VD,00020220301020500,27341
VD,00020220301021000,27305
VD,00020220301021500,27335
VD,00020220301022000,27300
VD,00020220301022500,27169
VD,00020220301023000,27141
VD,00020220301023500,27074
VD,00020220301024000,26964
VD,00020220301024500,26881
VD,00020220301025000,26821
VD,00020220301025500,26789
VD,00020220301030000,26760
VD,00020220301030500,26656
VD,00020220301031000,26553
VD,00020220301031500,26540
VD,00020220301032000,26463
VD,00020220301032500,26415
VD,00020220301033000,26407
VD,00020220301033500,26384
VD,00020220301034000,26374
VD,00020220301034500,26342
VD,00020220301035000,26302
VD,00020220301035500,26246
VD,00020220301040000,26219
VD,00020220301040500,26102
VD,00020220301041000,26389
VD,00020220301041500,26362
VD,00020220301042000,26336
VD,00020220301042500,26334
VD,00020220301043000,26323
VD,00020220301043500,26385
VD,00020220301044000,26396
VD,00020220301044500,26353
VD,00020220301045000,26283
VD,00020220301045500,26235
VD,00020220301050000,26347
VD,00020220301050500,26920
VD,00020220301051000,27462
VD,00020220301051500,27493
VD,00020220301052000,27567
VD,00020220301052500,27536
VD,00020220301053000,27588
VD,00020220301053500,27741
VD,00020220301054000,27979
VD,00020220301054500,28141
VD,00020220301055000,28218
VD,00020220301055500,28634
VD,00020220301060000,28867
VD,00020220301060500,29444
VD,00020220301061000,29848
VD,00020220301061500,30299
VD,00020220301062000,30741
VD,00020220301062500,31216
VD,00020220301063000,31730
VD,00020220301063500,32304
VD,00020220301064000,32664
VD,00020220301064500,32972
VD,00020220301065000,33366
VD,00020220301065500,33704
VD,00020220301070000,34119
VD,00020220301070500,34523
VD,00020220301071000,34912
VD,00020220301071500,35344
VD,00020220301072000,35705
VD,00020220301072500,36035
VD,00020220301073000,36176
VD,00020220301073500,36065
VD,00020220301074000,36336
VD,00020220301074500,36481
VD,00020220301075000,36536
VD,00020220301075500,36691
VD,00020220301080000,36575
VD,00020220301080500,37132
VD,00020220301081000,37286
VD,00020220301081500,37485
VD,00020220301082000,37490
VD,00020220301082500,37353
VD,00020220301083000,37400
VD,00020220301083500,37391
VD,00020220301084000,37362
VD,00020220301084500,37246
VD,00020220301085000,37340
VD,00020220301085500,37522
VD,00020220301090000,37917
VD,00020220301090500,37890
VD,00020220301091000,37807
VD,00020220301091500,37814
VD,00020220301092000,37843
VD,00020220301092500,37839
VD,00020220301093000,37852
VD,00020220301093500,37913
VD,00020220301094000,37907
VD,00020220301094500,37927
VD,00020220301095000,37998
VD,00020220301095500,37961
VD,00020220301100000,37778
VD,00020220301100500,37837
VD,00020220301101000,37830
VD,00020220301101500,37795
VD,00020220301102000,37884
VD,00020220301102500,37959
VD,00020220301103000,37942
VD,00020220301103500,37977
VD,00020220301104000,38004
VD,00020220301104500,38082
VD,00020220301105000,38187
VD,00020220301105500,38223
VD,00020220301110000,38211
VD,00020220301110500,38148
VD,00020220301111000,38155
VD,00020220301111500,38107
VD,00020220301112000,37903
VD,00020220301112500,37901
VD,00020220301113000,37845
VD,00020220301113500,37782
VD,00020220301114000,37691
VD,00020220301114500,37666
VD,00020220301115000,37660
VD,00020220301115500,37709
VD,00020220301120000,37767
VD,00020220301120500,37816
VD,00020220301121000,37869
