HDR,ROLLING SYSTEM DEMAND
VD,20220325220000,29364
VD,20220325220500,28952
VD,20220325221000,28748
VD,20220325221500,28420
VD,20220325222000,28141
VD,20220325222500,27902
VD,20220325223000,27661
VD,20220325223500,27522
VD,20220325224000,27304
VD,20220325224500,26966
VD,20220325225000,26745
VD,20220325225500,26527
VD,20220325230000,26390
VD,20220325230500,26263
VD,20220325231000,26089
VD,20220325231500,25801
VD,20220325232000,25502
VD,20220325232500,25211
VD,20220325233000,25134
VD,20220325233500,25032
VD,20220325234000,24989
VD,20220325234500,24918
VD,20220325235000,24784
VD,20220325235500,24615
VD,20220326000000,24496
VD,20220326000500,24617
VD,20220326001000,24645
VD,20220326001500,24558
VD,20220326002000,24417
VD,20220326002500,24272
VD,20220326003000,24325
VD,20220326003500,24540
VD,20220326004000,24575
VD,20220326004500,24514
VD,20220326005000,24340
VD,20220326005500,24269
VD,20220326010000,24232
VD,20220326010500,24378
VD,20220326011000,24373
VD,20220326011500,24298
VD,20220326012000,24181
VD,20220326012500,24066
VD,20220326013000,23919
VD,20220326013500,23906
VD,20220326014000,23811
VD,20220326014500,23687
VD,20220326015000,23602
VD,20220326015500,23498
VD,20220326020000,23631
VD,20220326020500,23646
VD,20220326021000,23539
VD,20220326021500,23607
VD,20220326022000,23552
VD,20220326022500,23527
VD,20220326023000,23504
VD,20220326023500,23482
VD,20220326024000,23447
VD,20220326024500,23404
VD,20220326025000,23379
VD,20220326025500,23413
VD,20220326030000,23409
VD,20220326030500,23590
VD,20220326031000,23664
VD,20220326031500,23630
VD,20220326032000,23666
VD,20220326032500,23686
VD,20220326033000,23639
VD,20220326033500,23646
VD,20220326034000,23593
VD,20220326034500,23482
VD,20220326035000,23518
VD,20220326035500,23514
VD,20220326040000,23459
VD,20220326040500,23325
VD,20220326041000,23192
VD,20220326041500,23138
VD,20220326042000,23119
VD,20220326042500,23163
VD,20220326043000,23209
VD,20220326043500,23256
VD,20220326044000,23247
VD,20220326044500,23201
VD,20220326045000,23169
VD,20220326045500,23065
VD,20220326050000,22995
VD,20220326050500,22896
VD,20220326051000,22800
VD,20220326051500,22812
VD,20220326052000,22852
VD,20220326052500,22885
VD,20220326053000,22910
VD,20220326053500,22946
VD,20220326054000,22949
VD,20220326054500,22949
VD,20220326055000,22944
VD,20220326055500,23025
VD,20220326060000,23126
VD,20220326060500,23331
VD,20220326061000,23504
VD,20220326061500,23706
VD,20220326062000,23910
VD,20220326062500,24010
VD,20220326063000,24082
VD,20220326063500,24186
VD,20220326064000,24327
VD,20220326064500,24381
VD,20220326065000,24418
VD,20220326065500,24486
VD,20220326070000,24609
VD,20220326070500,24937
VD,20220326071000,25015
VD,20220326071500,24978
VD,20220326072000,24974
VD,20220326072500,24983
VD,20220326073000,24957
VD,20220326073500,24970
VD,20220326074000,25002
VD,20220326074500,25082
VD,20220326075000,25159
VD,20220326075500,25310
VD,20220326080000,25403
VD,20220326080500,25566
VD,20220326081000,25690
VD,20220326081500,25699
VD,20220326082000,25729
VD,20220326082500,25761
VD,20220326083000,25770
VD,20220326083500,25829
VD,20220326084000,25828
VD,20220326084500,25888
VD,20220326085000,25915
VD,20220326085500,25857
VD,20220326090000,25716
VD,20220326090500,25679
VD,20220326091000,25688
VD,20220326091500,25679
VD,20220326092000,25642
VD,20220326092500,25522
