HDR,ROLLING SYSTEM DEMAND
VD,20220328235000,24734
VD,20220328235500,24709
VD,20220329000000,24662
VD,20220329000500,24732
VD,20220329001000,24717
VD,20220329001500,24759
VD,20220329002000,24685
VD,20220329002500,24555
VD,20220329003000,24491
VD,20220329003500,24660
VD,20220329004000,24870
VD,20220329004500,24935
VD,20220329005000,24912
VD,20220329005500,25033
VD,20220329010000,25018
VD,20220329010500,24987
VD,20220329011000,24919
VD,20220329011500,24905
VD,20220329012000,24809
VD,20220329012500,24782
VD,20220329013000,24656
VD,20220329013500,24647
VD,20220329014000,24508
VD,20220329014500,24486
VD,20220329015000,24625
VD,20220329015500,24564
VD,20220329020000,24604
VD,20220329020500,24790
VD,20220329021000,24920
VD,20220329021500,24899
VD,20220329022000,24835
VD,20220329022500,24771
VD,20220329023000,24611
VD,20220329023500,24572
VD,20220329024000,24620
VD,20220329024500,24605
VD,20220329025000,24660
VD,20220329025500,24746
VD,20220329030000,24849
VD,20220329030500,24973
VD,20220329031000,25191
VD,20220329031500,25132
VD,20220329032000,25146
VD,20220329032500,25121
VD,20220329033000,25019
VD,20220329033500,24918
VD,20220329034000,24814
VD,20220329034500,24776
VD,20220329035000,24814
VD,20220329035500,24982
VD,20220329040000,25150
VD,20220329040500,25665
VD,20220329041000,26164
VD,20220329041500,26160
VD,20220329042000,26070
VD,20220329042500,25973
VD,20220329043000,25981
VD,20220329043500,26339
VD,20220329044000,26674
VD,20220329044500,26782
VD,20220329045000,27069
VD,20220329045500,27585
VD,20220329050000,27857
VD,20220329050500,28521
VD,20220329051000,29473
VD,20220329051500,29958
VD,20220329052000,30337
VD,20220329052500,30765
VD,20220329053000,31069
VD,20220329053500,31276
VD,20220329054000,31589
VD,20220329054500,32042
VD,20220329055000,32348
VD,20220329055500,32639
VD,20220329060000,32755
VD,20220329060500,32577
VD,20220329061000,32747
VD,20220329061500,33225
VD,20220329062000,33594
VD,20220329062500,33855
VD,20220329063000,34047
VD,20220329063500,34304
VD,20220329064000,34663
VD,20220329064500,34957
VD,20220329065000,35246
VD,20220329065500,35413
VD,20220329070000,35446
VD,20220329070500,35289
VD,20220329071000,35579
VD,20220329071500,35749
VD,20220329072000,35752
VD,20220329072500,35782
VD,20220329073000,35639
VD,20220329073500,35588
VD,20220329074000,35456
VD,20220329074500,35503
VD,20220329075000,35628
VD,20220329075500,35782
VD,20220329080000,35867
VD,20220329080500,36107
VD,20220329081000,36540
VD,20220329081500,36776
VD,20220329082000,36823
VD,20220329082500,36800
VD,20220329083000,36823
VD,20220329083500,36746
VD,20220329084000,36686
VD,20220329084500,36623
VD,20220329085000,36659
VD,20220329085500,36707
VD,20220329090000,36580
VD,20220329090500,36503
VD,20220329091000,36398
VD,20220329091500,36426
VD,20220329092000,36457
VD,20220329092500,36385
VD,20220329093000,36383
VD,20220329093500,36433
VD,20220329094000,36417
VD,20220329094500,36395
VD,20220329095000,36364
VD,20220329095500,36309
VD,20220329100000,36198
VD,20220329100500,36059
VD,20220329101000,35990
VD,20220329101500,35948
VD,20220329102000,35872
VD,20220329102500,35741
VD,20220329103000,35652
VD,20220329103500,35652
VD,20220329104000,35614
VD,20220329104500,35679
VD,20220329105000,35715
VD,20220329105500,35615
VD,20220329110000,35640
VD,20220329110500,35867
VD,20220329111000,35998
VD,20220329111500,36057
VD,20220329112000,36120
VD,20220329112500,36205
VD,20220329113000,36134
VD,20220329113500,36033
VD,20220329114000,36038
VD,20220329114500,36009
VD,20220329115000,35907
VD,20220329115500,35791
VD,20220329120000,35724
VD,20220329120500,35659
VD,20220329121000,35616
VD,20220329121500,35414
VD,20220329122000,35264
VD,20220329122500,35208
VD,20220329123000,35096
VD,20220329123500,34995
VD,20220329124000,34939
VD,20220329124500,34924
VD,20220329125000,34778
VD,20220329125500,34643
VD,20220329130000,34658
VD,20220329130500,34876
VD,20220329131000,34942
VD,20220329131500,34937
VD,20220329132000,34895
VD,20220329132500,34888
VD,20220329133000,34812
VD,20220329133500,34859
VD,20220329134000,34784
VD,20220329134500,34762
VD,20220329135000,34717
VD,20220329135500,34636
VD,20220329140000,34649
VD,20220329140500,34774
VD,20220329141000,34943
VD,20220329141500,34936
VD,20220329142000,34938
VD,20220329142500,34848
VD,20220329143000,34943
VD,20220329143500,34981
VD,20220329144000,35005
VD,20220329144500,35210
VD,20220329145000,35372
VD,20220329145500,35425
VD,20220329150000,35149
VD,20220329150500,34924
VD,20220329151000,35195
VD,20220329151500,35342
VD,20220329152000,35460
VD,20220329152500,35534
VD,20220329153000,35610
VD,20220329153500,35629
VD,20220329154000,35587
VD,20220329154500,35642
VD,20220329155000,35971
VD,20220329155500,36038
VD,20220329160000,36105
VD,20220329160500,36261
VD,20220329161000,36575
VD,20220329161500,36398
VD,20220329162000,36506
VD,20220329162500,36513
VD,20220329163000,36581
VD,20220329163500,36628
VD,20220329164000,36669
VD,20220329164500,36588
VD,20220329165000,36723
VD,20220329165500,36885
VD,20220329170000,36767
VD,20220329170500,36915
VD,20220329171000,37027
VD,20220329171500,36996
VD,20220329172000,37153
VD,20220329172500,37188
VD,20220329173000,37132
VD,20220329173500,37208
VD,20220329174000,37233
VD,20220329174500,37264
VD,20220329175000,37492
VD,20220329175500,37430
VD,20220329180000,37218
VD,20220329180500,37290
VD,20220329181000,37291
VD,20220329181500,37407
VD,20220329182000,37301
VD,20220329182500,37209
VD,20220329183000,37031
VD,20220329183500,36957
VD,20220329184000,36766
VD,20220329184500,36901
VD,20220329185000,36907
VD,20220329185500,36925
VD,20220329190000,37006
VD,20220329190500,37226
VD,20220329191000,37166
VD,20220329191500,37086
VD,20220329192000,36990
VD,20220329192500,36872
VD,20220329193000,36592
VD,20220329193500,36375
VD,20220329194000,36345
VD,20220329194500,36230
VD,20220329195000,35954
VD,20220329195500,35793
VD,20220329200000,35528
VD,20220329200500,35349
VD,20220329201000,35238
VD,20220329201500,34946
VD,20220329202000,34634
VD,20220329202500,34445
VD,20220329203000,34107
VD,20220329203500,33648
VD,20220329204000,33440
VD,20220329204500,33251
VD,20220329205000,33114
VD,20220329205500,32786
VD,20220329210000,32372
VD,20220329210500,32037
VD,20220329211000,31718
VD,20220329211500,31279
VD,20220329212000,30883
VD,20220329212500,30528
VD,20220329213000,30227
VD,20220329213500,29959
VD,20220329214000,29697
VD,20220329214500,29429
VD,20220329215000,28968
VD,20220329215500,28421
VD,20220329220000,28038
VD,20220329220500,27551
VD,20220329221000,27190
VD,20220329221500,26802
VD,20220329222000,26455
VD,20220329222500,26273
VD,20220329223000,26088
VD,20220329223500,25949
VD,20220329224000,25863
VD,20220329224500,25505
VD,20220329225000,25369
VD,20220329225500,25338
VD,20220329230000,25397
VD,20220329230500,25445
VD,20220329231000,25289
VD,20220329231500,25489
VD,20220329232000,25461
VD,20220329232500,25374
VD,20220329233000,25326
VD,20220329233500,25426
VD,20220329234000,25434
VD,20220329234500,25393
VD,20220329235000,25513
VD,20220329235500,25494
VD,20220330000000,25332
VD,20220330000500,25558
VD,20220330001000,25587
VD,20220330001500,25597
VD,20220330002000,25611
VD,20220330002500,25535
VD,20220330003000,25525
VD,20220330003500,25571
VD,20220330004000,25630
VD,20220330004500,25750
VD,20220330005000,25817
VD,20220330005500,25854
VD,20220330010000,25761
VD,20220330010500,25798
VD,20220330011000,25744
VD,20220330011500,25743
VD,20220330012000,25780
VD,20220330012500,25795
VD,20220330013000,25688
VD,20220330013500,25636
VD,20220330014000,25623
VD,20220330014500,25600
VD,20220330015000,25471
VD,20220330015500,25403
VD,20220330020000,25257
VD,20220330020500,25211
VD,20220330021000,25262
VD,20220330021500,25212
VD,20220330022000,25170
VD,20220330022500,25106
VD,20220330023000,24966
VD,20220330023500,25036
VD,20220330024000,25124
VD,20220330024500,25231
VD,20220330025000,25334
VD,20220330025500,25407
VD,20220330030000,25452
VD,20220330030500,25337
VD,20220330031000,25339
VD,20220330031500,25447
VD,20220330032000,25590
VD,20220330032500,25616
VD,20220330033000,25530
VD,20220330033500,25485
VD,20220330034000,25367
VD,20220330034500,25290
VD,20220330035000,25283
VD,20220330035500,25298
VD,20220330040000,25409
VD,20220330040500,25347
VD,20220330041000,25459
VD,20220330041500,25601
VD,20220330042000,25761
VD,20220330042500,26147
VD,20220330043000,26315
VD,20220330043500,26595
VD,20220330044000,26990
VD,20220330044500,27302
VD,20220330045000,27560
VD,20220330045500,27745
VD,20220330050000,28017
VD,20220330050500,28699
VD,20220330051000,29594
VD,20220330051500,30088
VD,20220330052000,30475
VD,20220330052500,30742
VD,20220330053000,31055
VD,20220330053500,31579
VD,20220330054000,32013
VD,20220330054500,32412
VD,20220330055000,32648
VD,20220330055500,33021
VD,20220330060000,33430
VD,20220330060500,33680
VD,20220330061000,34162
VD,20220330061500,34549
VD,20220330062000,34934
VD,20220330062500,35262
VD,20220330063000,35574
VD,20220330063500,35672
VD,20220330064000,35652
VD,20220330064500,35911
VD,20220330065000,36267
VD,20220330065500,36489
VD,20220330070000,36719
VD,20220330070500,37245
VD,20220330071000,37431
VD,20220330071500,37446
VD,20220330072000,37417
VD,20220330072500,37485
VD,20220330073000,37522
VD,20220330073500,37658
VD,20220330074000,37835
VD,20220330074500,37962
VD,20220330075000,37990
VD,20220330075500,38105
VD,20220330080000,38267
VD,20220330080500,38660
VD,20220330081000,38956
VD,20220330081500,39101
VD,20220330082000,39039
VD,20220330082500,38954
VD,20220330083000,38868
VD,20220330083500,38788
VD,20220330084000,38614
VD,20220330084500,38600
VD,20220330085000,38531
VD,20220330085500,38539
VD,20220330090000,38575
VD,20220330090500,38397
VD,20220330091000,38409
VD,20220330091500,38380
VD,20220330092000,38243
VD,20220330092500,38279
VD,20220330093000,37722
VD,20220330093500,36842
VD,20220330094000,37389
VD,20220330094500,38299
VD,20220330095000,38122
VD,20220330095500,38026
VD,20220330100000,37953
VD,20220330100500,37932
VD,20220330101000,37951
VD,20220330101500,38103
VD,20220330102000,38124
VD,20220330102500,37985
VD,20220330103000,37809
VD,20220330103500,37734
VD,20220330104000,37741
VD,20220330104500,37650
VD,20220330105000,37597
VD,20220330105500,37641
VD,20220330110000,37722
VD,20220330110500,37743
VD,20220330111000,37778
VD,20220330111500,37733
VD,20220330112000,37588
VD,20220330112500,37489
VD,20220330113000,37422
VD,20220330113500,37465
VD,20220330114000,37321
VD,20220330114500,37349
VD,20220330115000,37227
VD,20220330115500,37036
VD,20220330120000,36934
VD,20220330120500,36944
VD,20220330121000,36939
VD,20220330121500,36834
VD,20220330122000,36743
VD,20220330122500,36524
VD,20220330123000,36486
VD,20220330123500,36466
VD,20220330124000,36402
VD,20220330124500,36326
VD,20220330125000,36216
VD,20220330125500,36152
VD,20220330130000,36120
VD,20220330130500,36166
VD,20220330131000,36289
VD,20220330131500,36363
VD,20220330132000,36443
VD,20220330132500,36233
VD,20220330133000,36059
VD,20220330133500,36049
VD,20220330134000,35881
VD,20220330134500,35746
VD,20220330135000,35724
VD,20220330135500,35696
VD,20220330140000,35667
FTR,1609
